DKG-PPO
Makespan	Tardiness
134	146.94
135	11.67
122	3.87
92	27.17
122	37.64
123	11.08
142	0
116	0
136	2.39
146	159.92
113	0
116	219.27
137	0
119	51.66
122	8.83
128	20.61
136	0
126	33.71
115	0.36
130	0
162	0
106	0
127	3.44
105	9.05
126	3.34
165	5.11
125	85.06
112	0
92	27.17
100	0


IPPO
Makespan	Tardiness
145	177.52
143	9.88
135	31.6
99	27.44
136	56.64
120	4.08
125	0
127	0
139	14.39
149	179.57
133	10.93
130	221.73
131	0
109	80.66
132	0
117	23.61
147	4.88
132	46.86
120	5.36
123	1.55
152	0
120	0
121	4.05
109	19.63
126	15.88
165	29.11
115	46.82
123	0
99	27.44
97	10.65

