20*5										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
742	3713.64	872.79	5595.47	813	3540.25	444	934.23	432	501.69
745	3488.41	1111.15	7961.6	744	2695.03	484	890.7	443	523.71
632	2909.32	679.09	3960.42	568	1921.61	343	766.87	339	319.82
800	4800.16	916.45	6060.02	779	2992.05	450	1287.67	435	661.55
565	1992.85	830.86	6607.48	658	2391.16	366	817.83	351	233.81
656	3228.69	781.62	4512.51	680	2630.15	347	821.32	300	100.33
686	4328.18	776.18	4831.48	670	2344.85	366	770.05	364	925.21
639	2484.68	744.18	4627.24	636	1799.17	325	720.1	324	420
715	2684.92	837	3013.78	807	2524.32	438	1184.2	448	856.05
737	2630.3	733.55	5358.4	669	1865.44	403	749.39	394	293.88
574	1722.39	780.62	5410.22	671	2337.73	378	460.41	348	107.5
773	3671.22	838.14	5101.54	740	2324.8	451	634.45	397	512.09
863	3616.82	992.53	5584.96	809	2681.15	523	1108.79	478	712.4
775	4143.2	870.77	6457.64	772	3349.9	385	628.85	359	129.19
806	3064.31	1029.53	7023.81	795	3055.99	476	1224.12	407	1034.89
847	3808.18	1051.55	6099.39	763	2699.33	419	1101.87	370	503.77
874	3686.78	745	3168.66	727	2398.03	508	1191.91	445	728.6
611	2606.43	688.88	3820.91	731	1550.09	390	627.49	327	414.65
696	2577.56	926.59	6080.83	637	2063.41	361	698.81	371	325.08
713	3035.11	974.18	6003.92	698	1956.73	464	974.18	441	888.73
807	3908.17	1049.73	5247.33	860	2959.68	497	1485.55	411	1008.38
664	2765.3	894.62	6138.47	730	2219.3	449	1099.15	398	627.71
667	3443.14	775.61	3802.3	641	2143.81	382	620.98	388	706.69
769	2729.11	773.28	4168.88	721	2764.29	417	1192.55	380	898.25
804	3027.74	908.78	4874.53	767	1816.58	416	710.52	378	423.52
537	2265.82	736.84	4974.11	624	2369.59	326	575.66	273	255.57
873	2313.19	870.72	4263.23	783	2097.46	566	887.87	510	791.79
753	3837.97	888.3	4889.43	805	2704.81	431	934.09	429	465.69
839	2724.42	977.65	5580.49	761	2564.74	437	1352.49	436	1026.89
635.17	3269	719.17	4170.53	545	1445.92	355	695.58	395	739.8


